moves,time (sec),game
10314,57.48,1
8027,23.91,2
3868,10.55,3
6247,16.17,4
18846,119.02,5
14242,89.42,6
3553,8.84,7
5915,16.2,8
6210,16.48,9
11947,65.12,10
4992,10.13,11
7504,26.35,12
5979,17.24,13
5173,11.1,14
7584,26.46,15
3097,7.79,16
10449,47.13,17
11045,47.46,18
4754,10.28,19
7709,35.22,20
7076,22.2,21
5865,19.99,22
11238,42.46,23
16185,96.09,24
10726,41.06,25
12381,72.25,26
1484,4.1,27
7322,32.9,28
6992,27.92,29
5522,24.67,30
8207,51.2,31
7811,37.65,32
5667,25.79,33
5843,25.91,34
14061,124.93,35
8449,32.9,36
5122,11.51,37
9155,41.32,38
18406,2410.97,39
8304,28.62,40
6598,23.5,41
5206,13.24,42
10441,55.12,43
11497,61.38,44
3439,6.02,45
7543,24.89,1
6418,18.46,2
10868,65.73,3
2954,6.48,4
4986,15.87,5
9893,40.61,6
13992,85.84,7
11423,54.82,8
9467,41.79,9
8577,37.21,10
3365,6.81,11
3385,10.51,12
7576,35.86,13
5361,14.38,14
12212,80.55,15
16680,121.81,16
5229,11.62,17
4121,12.51,18
6080,20.78,19
5393,14.35,20
15086,106.4,1
3195,5.02,2
6170,20.47,3
3600,8.14,4
3388,6.06,5
8607,41.74,6
5846,18.93,7
7514,25.78,8
18527,170.26,9
7631,24.49,10
7984,26.84,11
9868,49.28,12
13358,79.92,13
7149,24.14,14
5640,17.52,15
13572,79.99,16
7319,26.71,17
7304,23.81,18
5758,23.43,19
7853,28.72,20
10564,56.91,1
9077,34.53,2
9770,39.09,4
7259,23.52,5
16940,123.46,6
7173,26.13,7
9869,48.96,8
5077,14.92,9
5038,15.81,10
4156,9.9,11
7945,31.23,12
7727,32.66,13
7077,30.7,14
6748,18.51,15
11569,68.12,1
