moves,time (sec),game
580,0.24,1
1623,0.76,2
1572,1.19,3
761,0.28,4
831,0.31,5
1744,0.73,6
1951,0.93,7
1255,0.62,8
1528,1.32,9
1412,1.31,10
1169,0.9,11
726,0.28,12
1159,0.42,13
1272,0.89,14
1437,1.12,15
1706,2.25,16
1322,0.63,17
1429,0.77,18
1032,0.76,19
1170,0.55,20
1431,0.66,21
1926,0.76,22
1402,1.19,23
1674,0.65,24
1303,1.3,25
1688,0.75,26
1110,0.49,27
1252,0.66,28
1550,0.77,29
1670,1.03,30
1528,0.78,31
1230,0.79,32
1389,0.51,33
933,1.02,34
1827,0.79,35
1137,0.41,36
1561,0.72,37
1137,0.49,38
1768,1.16,39
1290,0.5,40
1593,0.97,41
1380,0.8,42
1135,0.41,43
929,0.36,44
581,0.22,45
1473,0.59,46
1841,0.97,47
1569,1.16,48
1752,0.89,49
1203,0.5,50
1090,0.6,51
1834,0.93,52
1905,1.09,53
1315,0.54,54
1972,0.9,55
1585,0.72,56
892,0.35,57
570,0.23,58
1041,0.45,59
1519,2.23,60
1052,0.48,61
1192,1.48,62
878,0.35,63
1184,0.51,64
795,0.83,65
1651,0.69,66
943,0.34,67
2058,0.99,68
1300,0.55,69
1432,0.94,70
1884,1.0,71
1372,1.42,72
1687,0.9,73
1784,0.89,74
1253,0.49,75
1294,1.29,76
1500,0.93,77
1205,0.79,78
894,1.56,79
1042,0.44,80
1587,0.95,81
1710,0.77,82
1712,0.91,83
1520,0.6,84
1111,0.45,85
1494,1.23,86
1926,0.92,87
1435,0.62,88
732,0.29,89
1809,1.0,90
1244,0.98,91
1286,0.6,92
818,0.35,93
646,0.25,94
1677,0.67,95
1290,0.49,96
945,0.98,97
1232,0.44,98
1409,0.72,99
1896,0.88,100
1084,1.76,101
1878,1.01,102
1541,0.82,103
1594,0.76,104
1627,0.66,105
1674,0.7,106
1618,0.87,107
1118,0.4,108
1476,1.08,109
1638,0.96,110
1468,0.6,111
1694,0.9,112
1416,0.73,113
1673,0.74,114
1266,0.56,115
1033,0.41,116
1335,1.18,117
950,0.39,118
1199,0.49,119
1225,0.61,120
1565,0.64,121
1334,0.61,122
1535,1.26,123
1693,0.9,124
784,0.32,125
1426,1.29,126
1439,0.6,127
693,0.29,128
1106,0.42,129
911,0.38,130
1791,1.16,131
663,0.25,132
1671,0.81,133
1018,0.43,134
634,0.63,135
1550,0.63,136
1549,1.26,137
1250,0.56,138
700,0.27,139
1594,0.68,140
1696,1.04,141
1746,0.79,142
1499,1.05,143
1148,0.54,144
1344,1.93,145
1564,1.17,146
1385,0.68,147
1372,1.34,148
1738,0.82,149
1606,0.66,150
1630,0.79,151
1279,0.49,152
907,0.33,153
1337,0.7,154
1534,0.96,155
1553,1.13,156
1625,0.69,157
1294,0.9,158
693,0.27,159
1481,1.09,160
1722,0.71,161
1816,0.83,162
1175,0.52,163
1515,0.75,164
1580,0.86,165
1841,0.8,166
1416,0.56,167
1455,0.6,168
1019,1.51,169
1480,1.14,170
1699,0.96,171
1388,0.91,172
1511,0.82,173
974,0.42,174
1289,0.52,175
1188,0.54,176
1753,0.9,177
638,0.27,178
1540,0.99,179
1812,0.81,180
1353,1.22,181
1450,0.75,182
1378,0.66,183
1159,0.61,184
1685,2.49,185
1684,1.07,186
868,0.34,187
1441,1.32,188
1145,0.42,189
1982,0.79,190
1001,0.37,191
1473,1.21,192
1676,1.23,193
926,0.41,194
1635,1.15,195
1604,0.75,196
936,0.5,197
1900,0.84,198
1297,1.12,199
1603,0.76,200
647,0.25,201
1300,0.64,202
1269,0.63,203
1009,1.03,204
1195,0.55,205
511,0.27,206
1904,0.85,207
1594,0.75,208
1940,1.0,209
1581,0.66,210
933,0.4,211
1449,0.61,212
1539,1.2,213
1625,1.12,214
1301,1.25,215
1565,1.2,216
1474,0.64,217
1690,0.86,218
1852,0.75,219
804,0.28,220
1414,1.21,221
1409,0.7,222
1370,1.09,223
1446,1.94,224
1286,0.53,225
1113,0.71,226
1004,0.5,227
796,0.34,228
1255,1.3,229
1676,0.82,230
1780,0.72,231
1485,1.12,232
879,0.33,233
1559,1.08,234
1153,0.45,235
2031,0.88,236
1344,0.65,237
1170,1.19,238
1815,0.85,239
1788,1.04,240
1499,0.58,241
1416,0.79,242
1322,0.6,243
1189,0.48,244
1604,0.67,245
1707,1.12,246
1520,0.96,247
1437,0.9,248
1097,0.46,249
838,0.32,250
1680,0.92,251
1070,1.35,252
1191,0.44,253
1582,1.15,254
1262,0.56,255
