turns,time,total_time
5569,1.14,1.14
8355,0.94,0.94
5679,0.14,1.09
4911,8.05,9.16
3870,20.58,29.74
2452,49.93,79.68
7882,6.84,6.85
4227,9.32,16.17
1764,12.08,28.26
9001,10.38,10.38
4982,1.75,12.13
2687,5.43,17.58
2539,54.94,72.52
7555,6.81,6.81
5634,25.58,32.41
4876,1.51,33.93
4477,19.08,53.02
4118,5.32,58.35
3409,18.61,76.96
3170,4.5,4.5
1507,23.8,28.31
1080,1.03,29.34
6599,2.58,2.58
6413,9.15,11.74
4876,10.14,21.89
4354,36.52,58.41
4096,53.2,111.63
3883,25.97,137.6
3680,4.76,142.36
3385,0.67,143.04
2566,15.79,158.84
1587,55.47,214.32
5282,11.93,11.93
4782,0.64,12.58
2993,26.26,38.85
2754,51.04,89.89
2032,16.65,106.55
1949,19.91,126.46
9442,14.09,14.1
8145,5.26,19.37
7106,8.16,27.54
2538,38.25,65.8
2284,7.17,72.98
9544,12.25,12.25
6637,3.6,15.86
4692,12.47,28.34
1740,6.17,34.52
1605,52.23,86.75
9617,39.66,39.66
9356,9.23,48.9
8873,0.36,49.27
8061,15.26,64.54
5782,30.82,95.37
5120,0.64,96.02
3772,1.92,97.95
2933,1.18,99.14
2599,6.89,106.04
2306,14.23,120.27
2048,34.79,155.06
6686,3.24,3.24
6415,4.28,7.53
2722,10.9,18.44
4123,3.36,3.37
6269,24.81,24.81
4041,16.18,41
3435,0.2,41.21
5080,12.46,12.46
3963,5.24,17.71
8737,2.44,2.44
6684,1.15,3.61
2609,14.38,17.99
2039,21.27,39.27
1229,27.87,67.14
8910,2.92,2.93
6954,2.78,5.72
2179,1.02,6.75
997,11.46,18.21
6376,0.48,0.49
4081,16.1,16.6
2631,43.59,60.2
9341,9.17,9.17
2243,0.02,9.2
5220,20.38,20.39
4894,30.24,50.64
3103,10.78,61.43
2267,34.47,95.91
2237,19.02,114.94
8158,10.78,10.78
8117,6.91,17.7
3554,10.92,28.63
1454,5.28,33.92
3994,4.52,4.52
3392,11.59,16.12
3128,9.19,25.31
2108,58.24,83.56
2050,39.29,122.85
9483,9.27,9.27
8286,11.56,20.84
5723,12.82,33.67
3638,14.76,48.44
3238,11.7,60.15
3075,15.63,75.78
1966,4.25,80.03
1135,5.54,85.58
8682,2.54,2.54
6484,6.19,8.74
5107,5.76,14.51
9218,12.6,12.6
2985,3.15,15.76
1666,34.12,49.88
1098,56.81,106.7
9675,37.61,37.62
8264,8.04,45.67
7630,1.13,46.81
6222,13.29,60.11
3937,18.82,78.94
3329,34.44,113.38
2952,39.81,153.2
5962,1.1,1.1
2554,4.41,5.52
8357,2.18,2.18
4549,15.53,17.72
4213,1.77,19.5
4007,1.9,21.41
2141,1.63,1.64
8688,5.84,5.84
8204,23.24,29.1
1451,7.2,36.3
6073,11.73,11.73
4946,7.11,18.85
3459,20.8,39.66
2743,38.81,78.48
2712,25.06,103.55
1089,16.16,119.72
5576,18.35,18.35
4884,24.35,42.71
4382,5.65,48.36
7679,2.91,2.91
7600,6.97,9.89
4062,6.66,16.56
8523,6.43,6.43
8061,0.96,7.4
3667,1.78,9.2
1791,18.17,27.38
1470,30.27,57.66
9225,28,28.01
5092,0.21,28.23
4029,1.29,29.52
3745,0.03,29.56
1725,35.57,65.14
1682,44.13,109.28
8323,0.09,0.09
7679,10.93,11.04
3387,11.19,22.24
7684,0.67,0.67
3693,10.27,10.95
1462,41.75,52.71
7551,0.68,0.68
950,13.49,14.18
8658,0.19,0.19
4420,36.98,37.18
4322,28.14,65.33
3220,37.55,102.9
1618,2.29,105.2
2659,8.04,8.05
1689,20.74,28.79
1570,10.29,39.09
8169,7.33,7.33
3157,16.29,23.64
2784,45.04,68.68
1411,46.38,115.07
1263,7.19,122.26
9468,9.17,9.17
4534,19.77,28.95
3797,8.26,37.22
1066,7.1,44.32
9327,2,2.01
6719,11.9,13.92
4909,15.32,29.25
1534,16.47,45.73
5494,3.68,3.68
3924,28.57,32.26
3107,7.37,39.63
8546,8.85,8.85
7178,7.4,16.26
5312,10.46,26.73
4391,38.91,65.65
3227,8.04,73.7
8338,22.65,22.65
5706,1.02,23.68
3745,9.71,33.39
7765,1.59,1.59
7516,10.73,12.33
1630,2.63,14.96
3383,4.71,4.71
2349,58.15,62.86
2043,1.78,64.65
9794,3.73,3.74
8759,48.79,52.54
8213,11.77,64.32
1588,1.92,66.25
8895,6.23,6.23
7044,13.69,19.95
4151,0.89,20.85
2584,2.58,23.44
6013,7.09,7.1
5849,16.54,23.65
5143,1.57,25.22
4903,8.98,34.21
3317,16.04,50.26
2980,35.95,86.22
9568,23.02,23.02
5871,10.98,34.03
4398,1.28,35.32
4072,8.68,44
3757,2.29,46.3
2614,50.04,96.35
1737,48.5,144.86
7280,8.77,8.78
6424,33.82,42.61
1527,22.56,65.17
8824,1.31,1.31
4427,7.07,8.4
3082,12.02,20.42
2931,47.73,68.16
2647,5.88,74.04
7186,1.84,1.84
5503,30.91,32.76
4633,42.99,75.76
2504,12.24,88.01
2300,39.24,127.25
7620,25.09,25.09
5657,0.14,25.24
4193,24.48,49.72
2857,7.19,56.92
1805,28.08,85.01
4900,0.05,0.05
4897,28.61,28.67
4868,8.31,36.99
3392,7.09,44.09
3039,2.52,46.61
2524,6.9,53.52
2020,14.31,67.83
1169,47.37,115.21
6560,0.16,0.16
3088,8.65,8.82
8453,11.79,11.79
5679,36.01,47.82
4575,26.71,74.54
4282,14.46,89.01
3897,29.7,118.72
2873,1.5,120.23
9309,0.3,0.3
5787,4.15,4.46
2971,4.62,9.08
2731,39.73,48.82
5392,5.2,5.21
2791,4.07,9.29
2652,19.86,29.15
8608,3.63,3.64
8197,21.34,24.99
1745,23.87,48.87
9137,11.12,11.13
5457,3.37,14.51
2443,12.69,27.2
2249,18.07,45.28
978,33.55,78.83
6325,18.96,18.97
2701,17.61,36.59
7560,1.61,1.61
6090,19.58,21.2
3816,16.97,38.18
9203,10.09,10.1
7863,3.47,13.57
6872,14.27,27.86
4842,5.21,33.07
1390,43.11,76.19
2829,1.2,1.21
8684,1.03,1.04
3737,1.39,2.44
3016,27.97,30.42
7544,6.39,6.39
5639,4.23,10.63
3682,24.64,35.28
4818,2.68,2.68
2566,4.24,6.93
7254,7.23,7.23
4979,7.99,15.23
4710,5.15,20.39
2962,6.81,27.21
1852,13.46,40.67
1851,32.26,72.93
954,36.08,109.02
6916,8.27,8.27
3927,1.42,9.7
3038,16.11,25.82
8799,13.91,13.91
7182,9.08,23
7107,3.55,26.56
6600,8.3,34.87
6187,21.12,56
5186,1.88,57.9
4497,17.4,75.3
3875,0.14,75.44
1872,16.96,92.41
1781,15.18,107.59
593,2.57,110.16
9022,3.51,3.51
6082,0.82,4.35
3763,4.74,9.09
