turns,time,total_time
4736,1.23,1.23
3601,0.43,1.67
1554,0.88,2.56
889,3.88,6.44
544,8.66,15.11
391,9.22,24.34
6561,0.05,0.06
6255,1.39,1.46
5671,2.74,4.21
2138,0.2,4.43
1938,0.91,5.34
491,0.17,5.52
396,16.76,22.28
349,14.75,37.03
5058,0.6,0.61
4609,1.88,2.49
4209,0.17,2.67
1478,1.61,4.29
1377,0.81,5.11
1224,4.39,9.5
1151,0.92,10.42
1082,1.79,12.21
1001,0.55,12.77
952,1.81,14.59
783,10.75,25.34
704,4.6,29.95
415,5.13,35.09
372,15.41,50.5
5695,0.12,0.12
3258,1.21,1.35
2968,0.02,1.37
941,2.12,3.5
938,5.99,9.49
794,2.28,11.77
744,1.96,13.74
645,6.21,19.96
496,15.08,35.04
5128,0.69,0.7
3138,0.57,1.28
708,0.54,1.83
358,4.02,5.85
345,17.36,23.21
3918,1.59,1.59
1674,0.51,2.11
773,0.01,2.13
725,1.52,3.65
461,3.34,7
306,19.81,26.82
8816,1.23,1.23
6311,0.11,1.35
4967,0.58,1.94
3847,0.3,2.24
3225,3.07,5.32
1299,1.76,7.08
1186,8.65,15.74
622,5.14,20.88
443,16.58,37.46
422,31.71,69.18
390,15.69,84.87
317,28.24,113.12
8585,0.92,0.92
8524,0.31,1.25
1443,1.38,2.64
863,0.34,2.99
583,2.56,5.55
510,3.43,8.98
471,4.98,13.96
449,20.63,34.59
7433,0.2,0.21
6270,0.1,0.32
3791,1.58,1.91
2780,0.12,2.04
2219,1.17,3.21
1750,0.36,3.58
455,2.62,6.2
8976,1.09,1.09
4537,0.17,1.27
3468,3.65,4.93
2764,1.05,5.99
2158,0.44,6.43
756,0.12,6.56
584,22.78,29.34
567,18.45,47.8
383,15.07,62.87
326,3.06,65.93
297,50.92,116.85
8322,0.58,0.58
7829,0.36,0.95
4810,0.43,1.39
2755,2.45,3.85
1384,0.58,4.43
1127,7.97,12.42
453,0.35,12.77
410,3.75,16.52
309,52.52,69.04
303,54.85,123.89
8455,1.71,1.71
4911,0.09,1.82
1662,0.47,2.29
992,2.48,4.78
868,1.82,6.6
707,5.15,11.76
638,30.9,42.67
509,9.4,52.07
453,15.55,67.62
8370,0.54,0.54
6630,0.5,1.05
2461,0.58,1.65
2104,4.95,6.6
1672,0.05,6.66
1129,2.82,9.48
1013,1.25,10.73
506,2.29,13.02
3898,1.23,1.23
3452,1.05,2.28
1464,1.79,4.08
1443,0.74,4.83
971,1.31,6.14
444,0.44,6.59
2135,0.02,0.02
1505,5.31,5.34
960,7.85,13.18
549,0.68,13.87
540,13.46,27.33
505,4.91,32.25
271,12.22,44.46
9120,1.31,1.31
3023,0.79,2.11
2141,1.6,3.73
2051,1.96,5.7
449,1.25,6.95
393,19.91,26.87
6293,0.2,0.2
2730,1.05,1.26
1386,0.81,2.08
1172,0.19,2.27
879,0.57,2.85
766,1.95,4.8
752,15.09,19.89
426,18.05,37.95
228,28.05,66
9768,1.22,1.22
9642,0.82,2.05
5469,1.93,3.99
3137,0.52,4.52
2242,0.22,4.75
1590,2.01,6.76
1467,2.22,8.99
1091,1.09,10.08
936,0.62,10.71
885,11.43,22.15
818,16.86,39.02
732,1.12,40.14
705,0.98,41.12
676,2.21,43.34
388,8.55,51.89
9465,0.53,0.53
6454,0.49,1.04
4627,1.55,2.59
2337,0.6,3.2
1352,0.49,3.7
